EtuNimi Sukunimi	St 	1 	2 	3 	Mp 	Ms 	Voittosumma 	¤/St 	V% 	S%
Tapani Huhtala 	1 	0 	0 	0 	1 	0 	50 	50 	0 	0
Kalevi Korkiakangas 	1 	0 	0 	0 	1 	0 	50 	50 	0 	0
Taija Lakiasuo 	1 	0 	0 	0 	1 	0 	50 	50 	0 	0
Mikael Löfbacka 	6 	0 	1 	0 	0 	5 	50 	8 	0 	17
Hanna-Kaisa Marjala 	2 	0 	1 	0 	0 	1 	50 	25 	0 	50
Seija Nieminen 	2 	0 	0 	0 	1 	1 	50 	25 	0 	0
Tilda Niittymäki 	1 	0 	0 	0 	1 	0 	50 	50 	0 	0
Marianne Niveri 	1 	0 	0 	0 	1 	0 	50 	50 	0 	0
Sanna Pitkänen 	2 	0 	1 	0 	0 	1 	50 	25 	0 	50
Juho Rahko 	2 	0 	1 	0 	0 	1 	50 	25 	0 	50
Torsti Rantakurtakko 	1 	0 	0 	0 	1 	0 	50 	50 	0 	0
Matti Ryymin 	1 	0 	1 	0 	0 	0 	50 	50 	0 	100
Marinka Salminen 	1 	0 	0 	0 	1 	0 	50 	50 	0 	0
Aarne Schwartz 	2 	0 	1 	0 	0 	1 	50 	25 	0 	50
Sakari Tikkanen 	3 	0 	1 	0 	0 	2 	50 	16 	0 	33
Nyyti-Maria Timonen 	3 	0 	0 	0 	1 	2 	50 	16 	0 	0
Jussi Tomperi 	6 	0 	0 	0 	1 	5 	50 	8 	0 	0
Johanna Valtonen 	2 	0 	0 	0 	1 	1 	50 	25 	0 	0
Terhi Vanhala 	1 	0 	0 	0 	1 	0 	50 	50 	0 	0
Kari Åkerlund 	2 	0 	0 	0 	1 	1 	50 	25 	0 	0
Nanto Palmroos 	2 	0 	0 	0 	2 	0 	49 	24 	0 	0
Magdalena Ilmarinen 	5 	0 	0 	0 	2 	3 	48 	9 	0 	0
Mika Karppinen 	1 	0 	0 	1 	0 	0 	45 	45 	0 	100
Jari Keto 	4 	0 	0 	1 	0 	3 	45 	11 	0 	25
Markku Lahtinen 	1 	0 	0 	1 	0 	0 	45 	45 	0 	100
Jarkko Lehtikangas 	1 	0 	0 	1 	0 	0 	45 	45 	0 	100
Marko Lindgren 	5 	0 	0 	1 	0 	4 	45 	9 	0 	20
Hanna Mäntylä 	2 	0 	0 	1 	0 	1 	45 	22 	0 	50
Seppo Riikonen 	1 	0 	0 	1 	0 	0 	45 	45 	0 	100
Toni Salo 	6 	0 	0 	1 	0 	5 	45 	7 	0 	17
Jarmo Hietaniemi 	4 	0 	0 	0 	1 	3 	40 	10 	0 	0
Sarianne Hynynen 	2 	0 	0 	0 	1 	1 	40 	20 	0 	0
Reijo Mattila 	1 	0 	0 	0 	1 	0 	40 	40 	0 	0
Rinaldo Roth 	1 	0 	0 	0 	1 	0 	40 	40 	0 	0
Liisa Rouhiainen 	1 	0 	0 	0 	1 	0 	40 	40 	0 	0
Anni Lahtinen 	4 	0 	0 	1 	0 	3 	38 	9 	0 	25
Bartolome Galmes Lorente 	1 	0 	0 	1 	0 	0 	36 	36 	0 	100
Petri Hirvonen 	5 	0 	0 	1 	0 	4 	36 	7 	0 	20
Petri Härkönen 	1 	0 	0 	1 	0 	0 	36 	36 	0 	100
Jani Karhulahti 	3 	0 	0 	1 	0 	2 	36 	12 	0 	33
Joanna Karling 	2 	0 	0 	1 	0 	1 	36 	18 	0 	50
Sanna Salonen 	1 	0 	0 	1 	0 	0 	36 	36 	0 	100
Tapio Torppa 	10 	0 	0 	1 	0 	9 	36 	3 	0 	10
Juha Alikoski 	1 	0 	0 	0 	1 	0 	30 	30 	0 	0
Heikki Astikainen 	1 	0 	0 	1 	0 	0 	30 	30 	0 	100
Ari Eriksson 	1 	0 	0 	1 	0 	0 	30 	30 	0 	100
Pernilla Grön-Stenman 	6 	0 	0 	0 	1 	5 	30 	5 	0 	0
Toivo Heikkinen 	3 	0 	0 	0 	1 	2 	30 	10 	0 	0
Raimo Jokikokko 	1 	0 	0 	1 	0 	0 	30 	30 	0 	100
Tomi Jonninen 	1 	0 	0 	1 	0 	0 	30 	30 	0 	100
Anu Juuma 	2 	0 	0 	1 	0 	1 	30 	15 	0 	50
Eija Karppinen 	2 	0 	0 	1 	0 	1 	30 	15 	0 	50
Esa Kemppainen 	2 	0 	0 	1 	0 	1 	30 	15 	0 	50
Kirsi-Maria Kettunen 	2 	0 	0 	0 	1 	1 	30 	15 	0 	0
Kari Lehto 	6 	0 	0 	0 	1 	5 	30 	5 	0 	0
Pekka Mikkonen 	2 	0 	0 	0 	1 	1 	30 	15 	0 	0
Päiviö Mäkelä 	1 	0 	0 	1 	0 	0 	30 	30 	0 	100
Mira Oksakari 	2 	0 	0 	1 	0 	1 	30 	15 	0 	50
Minna Peltonen 	2 	0 	0 	1 	0 	1 	30 	15 	0 	50
Laura Puolamäki 	1 	0 	0 	1 	0 	0 	30 	30 	0 	100
Keijo Rajakangas 	1 	0 	0 	0 	1 	0 	30 	30 	0 	0
Reino Salmela 	3 	0 	0 	0 	2 	1 	30 	10 	0 	0
Rami Syrjä 	1 	0 	0 	1 	0 	0 	30 	30 	0 	100
Tuomo Tapaninen 	2 	0 	0 	1 	0 	1 	30 	15 	0 	50
Sami Tervo 	3 	0 	0 	1 	0 	2 	30 	10 	0 	33
Tiina Turunen 	11 	0 	0 	0 	1 	10 	30 	2 	0 	0
Aleksi Uosukainen 	3 	0 	0 	1 	0 	2 	30 	10 	0 	33
Emmi Vanha-Patokoski 	2 	0 	0 	1 	0 	1 	30 	15 	0 	50
Samppa Vähäkuopus 	2 	0 	0 	1 	0 	1 	30 	15 	0 	50
Risto Kauppinen 	2 	0 	0 	0 	2 	0 	26 	13 	0 	0
Anssi Hirvonen 	1 	0 	0 	0 	1 	0 	25 	25 	0 	0
Peter Eklund 	4 	0 	0 	0 	1 	3 	24 	6 	0 	0
Hemmi Hagert 	3 	0 	0 	0 	1 	2 	24 	8 	0 	0
Heikki Heikkilä 	1 	0 	0 	0 	1 	0 	24 	24 	0 	0
Ari J Koivula 	1 	0 	0 	0 	1 	0 	24 	24 	0 	0
Nina Malmberg 	3 	0 	0 	0 	1 	2 	24 	8 	0 	0
Markus Kiiski 	1 	0 	0 	0 	1 	0 	20 	20 	0 	0
Heikki Lehtiniemi 	1 	0 	0 	0 	1 	0 	20 	20 	0 	0
Rauno Miettinen 	2 	0 	0 	0 	1 	1 	20 	10 	0 	0
Terhi Perälä 	1 	0 	0 	0 	1 	0 	20 	20 	0 	0
Satu Pirttinen 	3 	0 	0 	0 	1 	2 	20 	6 	0 	0
Henri Pyykkönen 	1 	0 	0 	0 	1 	0 	20 	20 	0 	0
Timo Stenman 	1 	0 	0 	0 	1 	0 	20 	20 	0 	0
Reetta Tervonen 	2 	0 	0 	0 	1 	1 	20 	10 	0 	0
Katja Vola 	1 	0 	0 	0 	1 	0 	20 	20 	0 	0
Elina Piiri 	6 	0 	0 	0 	1 	5 	15 	2 	0 	0
Petri Salmi 	6 	0 	0 	0 	1 	5 	15 	2 	0 	0
Ari Kotikulma 	6 	0 	0 	0 	1 	5 	12 	2 	0 	0
Henrik Palmroos 	2 	0 	0 	0 	1 	1 	12 	6 	0 	0
Meri Elomaa 	1 	0 	0 	0 	1 	0 	10 	10 	0 	0
Sanna Hakanen 	4 	0 	0 	0 	1 	3 	10 	2 	0 	0
Heidi Kortesluoma 	3 	0 	0 	0 	1 	2 	10 	3 	0 	0
Janne Levula 	3 	0 	0 	0 	1 	2 	10 	3 	0 	0
Kirsi Läspä 	1 	0 	0 	0 	1 	0 	10 	10 	0 	0
Karri Aalto 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Pia Ahokas 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Johanna Ahola 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Johanna Ahola 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Sini Ahponen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Timo Ahtiainen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Susanna Aittaniemi 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Pasi Alakunnas 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Sami Alamaa 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Selene Alamaa 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Jenni Alanen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Elli Alfreds 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Meri Aliklaavu 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Venla Aliranta 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Atte Alitalo 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Kristian Autio 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Valde Baltzar 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Orvo Bollström 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Outi Edman 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Pekka Eskelinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Anu Eskola 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jyrki Filatoff 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Hemmi Florin 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Toni Florin 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Janne Forsman 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Malin Granfors 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Kenneth Granqvist 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0
Marko Grönstrand 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Petra Haapakoski 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Satu Haaraoja 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Keijo Hagert 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Kyösti T Hagert 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Rainer Hagert 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Seppo Hagert 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jaakko Hakala 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Kalle Hakkarainen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Kristian Halonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jukka Halttunen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jukka Hartikainen 	10 	0 	0 	0 	0 	10 	0 	0 	0 	0
Veli-Matti Hassinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Hannu Hautala 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Markku Hautala 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jasminka Hautamäki 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Mats Havulehto 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Robert Heinonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Annika Hellsberg 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Olli Henttonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Ville Herttua 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Emilia Hirvi 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Antti Hirvonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Päivö Hirvonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Timo Holkko 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Sören Holm 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Pentti Holopainen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Tuomo Holopainen 	7 	0 	0 	0 	0 	7 	0 	0 	0 	0
Kati Huhtala 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Sonja Huovila 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Markus Huttunen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Tuovi Huttunen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Heta Huuskola 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Ville Hyvärinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jani Hyvönen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Heli Hyötyläinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Mikaela Hägg 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Kimmo Hämäläinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Laura Hämäläinen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Esko Hänninen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Liisa Ijas 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Max Ilmarinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Pinja Iltanen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Nina Ilvesniemi 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Olavi Inkinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Joni Irri 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0
Minna Isokivijärvi 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Valtteri Itkonen 	9 	0 	0 	0 	0 	9 	0 	0 	0 	0
Harri Jalonen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Sari Jauhojärvi 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Juha Jokinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Juha K Jokinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Aki Jokiranta 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Ilkka Jokisalo 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Arvi Jokitalo 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Veera Jonninen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Roosa Joona 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Sirpa Juden 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Mauri Julkunen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Teemu Jurvanen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jenna Järvenpää 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Raila Järvi 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Hannu Järvinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Ari Jääskeläinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Keijo Jääskeläinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Tomi Jääskeläinen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Tiia Kaapu 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jere Kallio 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0
Juuso Kangas 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Matti Kangas 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Minna Kangas 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Satu-Pauliina Kangas 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Juha Kantonen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Marjukka Karjalainen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Raimo Kattelus 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Heikki Kauhanen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Timo Kaukonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jukka Kauppinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Pekka Kauppinen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jukka Kehusmaa 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Kimmo Kehusmaa 	5 	0 	0 	0 	0 	5 	0 	0 	0 	0
Mervi Kemppainen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Kimmo Kemppi 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Ari Keränen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Markus Ketola 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jussi Kinnunen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Keijo Kinnunen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Miina Kinnunen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Tapani Kinnunen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jouni Kivelä 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Harri Kivilä 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Noora Kivimaa 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Kari Kivioja 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Rosali Kivitie 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Heikki Klemetti 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Essi Koivisto 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Juha Kokko 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Tapio Kokkonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Veijo Kokkonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Mari Kolkkinen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jarkko Koppeli 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Esa Korhonen 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0
Camilla Korin 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jarmo Korkeaniemi 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Anne Koskinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Teuvo Koutonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Olli Kujansuu 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jouni Kukkohovi 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Hilppa Kukkonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Sanna Kumanto 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0
Timo Kurkinen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Pia Kuronen 	9 	0 	0 	0 	0 	9 	0 	0 	0 	0
Ari Kurra 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Juha Kuukasjärvi 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Pentti Kuusela 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Ayse Könec 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Ville Laakkala 	5 	0 	0 	0 	0 	5 	0 	0 	0 	0
Sanna Laakso 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Ami Laaksonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Tomi Laaksonen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Vilppu Laaksonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Niina Laitinen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Juha Lammi 	6 	0 	0 	0 	0 	6 	0 	0 	0 	0
Mia Lamminen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Hanna Lappalainen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Juha Lappalainen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Pekka Lasanen 	13 	0 	0 	0 	0 	13 	0 	0 	0 	0
Susanna Laulumaa 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Eveliina Laurila 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Juha Laurila 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Matti Lehti 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Raimo Lehtinen 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0
Paula Lehtola 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Milla Leino 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Taja Lepistö 	6 	0 	0 	0 	0 	6 	0 	0 	0 	0
Elina Levola 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0
Markku Lievonen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Mauri Liikanen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Vesa Liimatainen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Johanna Limola 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Teijo Lindeman 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Feija Lindgren 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jalmari Lindgren 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Tino Lindgren 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Keijo Lindström 	6 	0 	0 	0 	0 	6 	0 	0 	0 	0
Jukka Lintula 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Pertti Livisti 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Marika Lohilahti 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Kari Lohiranta 	6 	0 	0 	0 	0 	6 	0 	0 	0 	0
Nina Loueranta 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Tiina Lukin 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Emmi-Noora Lukkari 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jonna-Mari Lundgren 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jori-Pekka Luoma 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Markku Luoma 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jenni Lust 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Juha Lyyski 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Hannu Lähteenmäki 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Tessa Länsimäki 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Pertti Läspä 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Rami Malkamäki 	8 	0 	0 	0 	0 	8 	0 	0 	0 	0
Ari Manninen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Janne Manninen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Pasi Manninen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Risto Manninen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Esa Marin 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jari Martikainen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Markku Marttila 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jukka Mastomäki 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Hannu Matilainen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Armi Mattinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Mikko Mauno 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Taina Miekka 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jouni Miettinen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Laura Miettinen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Mira Miettinen 	7 	0 	0 	0 	0 	7 	0 	0 	0 	0
Tiina Mikkola 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Okko Mikkonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Mika Moisanen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Rami Moisio 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Toni Multanen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Juulia Mustonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Laura Mustonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Nina Mustonen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Sami Mykkänen 	6 	0 	0 	0 	0 	6 	0 	0 	0 	0
Ritva Mäenpää 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Ville Mäkelä 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Raili Mäki-Jaakkola 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Taija Mäki-Mustapää 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Matti J. Mäkinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Susanna Mäkinen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Vesa Mäkinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Toni Mäntyniemi 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Ari Nahkuri 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Maria Niemelä 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Eero Nieminen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Katriina Nieminen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Timo Nieminen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Pasi Nikkari 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Anna Nisonen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Vesa Norgård 	5 	0 	0 	0 	0 	5 	0 	0 	0 	0
Ari Noronen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Timo Norri 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Tia Nurmilaukas 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Martti Nykyri 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Juuso Nyström 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Noora Nöjd 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Saija Ohriluoma 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Jaana Oikarainen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Rainer Oikarainen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Alpo Ojaluoto 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jussi Ojaniemi 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Lassi Okkolin 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Elina Oksanen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Elina Oksanen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Markku Oksanen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Maarit Ollikainen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Anne-Mari Ollila 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Eeva Paakkari 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Erkki Paaso 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Eero Pajumäki 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Esa Pakarinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Aulis Palosaari 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Matti Papu 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Markku Pasanen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jukka-Veli Pehkonen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jenni Peltokorpi 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
