EtuNimi Sukunimi	St 	1 	2 	3 	Mp 	Ms 	Voittosumma 	¤/St 	V% 	S%
Teuvo Karpale 	10 	0 	1 	0 	4 	5 	1100 	110 	0 	10
Jyri Koukkari 	34 	0 	1 	1 	8 	24 	1100 	32 	0 	6
Markku Tonteri 	10 	0 	1 	1 	2 	6 	1100 	110 	0 	20
Satu Viitala 	2 	1 	0 	0 	1 	0 	1100 	550 	50 	50
Jenny Ehrnsten 	4 	0 	1 	3 	0 	0 	1080 	270 	0 	100
Joni Hakala 	8 	0 	1 	1 	3 	3 	1080 	135 	0 	25
Marko Myllymäki 	38 	0 	0 	2 	8 	28 	1064 	28 	0 	5
Eero Hakkarainen 	5 	0 	0 	1 	1 	3 	1060 	212 	0 	20
Janina Koivisto 	7 	1 	1 	0 	3 	2 	1060 	151 	14 	29
Terhi Poso 	14 	0 	2 	1 	1 	10 	1060 	75 	0 	21
Piia Salminen 	8 	1 	2 	3 	1 	1 	1060 	132 	13 	75
Risto Leponiemi 	13 	3 	1 	2 	4 	3 	1051 	80 	23 	46
Jukka Kolkka 	14 	0 	0 	1 	4 	9 	1050 	75 	0 	7
Eveliina Kakko 	17 	0 	1 	2 	7 	7 	1040 	61 	0 	18
Jouko Marttila 	10 	0 	2 	0 	3 	5 	1040 	104 	0 	20
Maria Virtanen 	21 	1 	0 	1 	9 	10 	1039 	49 	5 	10
Noora Hirvimäki 	12 	0 	0 	2 	4 	6 	1030 	85 	0 	17
Jarno Kallionpää 	6 	0 	1 	1 	1 	3 	1030 	171 	0 	33
Laura Kinnunen 	14 	0 	2 	0 	4 	8 	1030 	73 	0 	14
Viivi Pirinen 	4 	1 	0 	0 	1 	2 	1020 	255 	25 	25
Janne Rauhala 	7 	0 	0 	2 	1 	4 	1020 	145 	0 	29
Jyrki Romppanen 	16 	0 	2 	0 	4 	10 	1020 	63 	0 	13
Jan Söderström 	12 	0 	0 	1 	9 	2 	1015 	84 	0 	8
Risto Pitkänen 	7 	0 	0 	1 	4 	2 	1010 	144 	0 	14
Kyösti Hagert 	31 	1 	1 	0 	6 	23 	1000 	32 	3 	6
Jukka Hakkarainen 	7 	0 	0 	1 	4 	2 	1000 	142 	0 	14
Roi Iltanen 	15 	0 	1 	1 	3 	10 	1000 	66 	0 	13
Pasi Laurila 	11 	1 	0 	0 	0 	10 	1000 	90 	9 	9
Veijo Lipponen 	16 	2 	0 	1 	6 	7 	1000 	62 	13 	19
Hannu Rinne 	3 	1 	0 	0 	0 	2 	1000 	333 	33 	33
Seppo Savolainen 	4 	0 	1 	0 	0 	3 	1000 	250 	0 	25
Seppo Suuronen 	2 	1 	0 	0 	0 	1 	1000 	500 	50 	50
Heikki Torvinen 	1 	1 	0 	0 	0 	0 	1000 	1000 	100 	100
Riku Rikala 	6 	1 	1 	1 	0 	3 	990 	165 	17 	50
Paavo Räinä 	4 	1 	1 	1 	1 	0 	990 	247 	25 	75
Mikael Autio 	23 	1 	1 	0 	8 	13 	980 	42 	4 	9
